               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026318,           0.0071936,                   0,             0.95746,                   1,             0.98303,             0.65129,            0.022129,           0.0034277,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02619,           0.0071301,                   0,             0.96151,             0.99919,             0.99143,             0.67357,             0.02064,           0.0033573,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02797,           0.0070079,                   0,             0.96153,             0.99974,             0.99263,              0.6923,            0.020235,           0.0033559,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027525,           0.0069448,                   0,             0.95999,                   1,             0.98703,             0.66006,            0.020794,           0.0033458,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027067,           0.0070483,                   0,             0.95962,                   1,             0.98663,             0.72733,            0.018708,           0.0032797,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026365,           0.0068683,                   0,             0.95851,                   1,             0.99103,             0.74678,            0.018508,            0.003273,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025175,           0.0074159,                   0,             0.96052,                   1,             0.99183,             0.75185,             0.01691,           0.0032076,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.023209,           0.0062473,                   0,             0.96138,             0.99579,             0.99063,             0.69059,            0.019117,           0.0032119,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025871,           0.0064963,                   0,             0.96133,             0.99453,             0.98783,             0.76811,            0.018591,           0.0031499,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024397,           0.0069474,                   0,             0.96129,             0.99329,             0.98503,             0.71937,            0.018185,           0.0031834,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024089,           0.0066138,                   0,             0.96136,             0.99533,             0.98285,             0.73845,            0.017971,           0.0031626,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025839,           0.0065001,                   0,             0.96131,             0.99381,             0.98775,             0.68866,            0.018644,            0.003126,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023713,           0.0065254,                   0,             0.96146,             0.99797,              0.9906,             0.74034,            0.018301,           0.0030438,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024719,           0.0059799,                   0,             0.96142,             0.99685,             0.99142,             0.74174,            0.017499,           0.0030634,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023536,           0.0066049,                   0,                   1,             0.95839,             0.99423,              0.7955,            0.015975,           0.0030001,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.022557,           0.0062168,                   0,             0.99449,                0.98,             0.99387,             0.79883,            0.014254,           0.0028948,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.022589,           0.0064278,                   0,                   1,             0.97998,             0.99423,              0.7281,             0.01694,           0.0029098,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022227,           0.0058772,                   0,             0.97898,                0.98,             0.99423,             0.76527,            0.016747,           0.0028647,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022628,           0.0056769,                   0,             0.97763,                   1,             0.99382,             0.77524,             0.01482,           0.0029411,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022917,           0.0059524,                   0,             0.95848,                   1,             0.99383,             0.78873,            0.016204,           0.0030193,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020824,           0.0060051,                   0,             0.96028,                   1,             0.99423,             0.79863,             0.01492,           0.0029774,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021862,           0.0059047,                   0,             0.95922,                   1,             0.99423,             0.80128,            0.013987,           0.0029454,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021129,           0.0058415,                   0,             0.95875,                   1,             0.99343,             0.80354,            0.016671,           0.0029166,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021015,           0.0065733,                   0,             0.98039,             0.99993,             0.99422,             0.80424,            0.013683,            0.002799,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019785,            0.006151,                   0,               0.978,                   1,             0.99422,             0.81726,            0.013002,           0.0027263,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021285,           0.0060465,                   0,             0.97639,                   1,             0.99343,             0.76918,             0.01438,            0.002777,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.019682,           0.0057962,                   0,             0.97791,                   1,             0.99382,             0.81782,            0.013391,            0.002691,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020645,           0.0059582,                   0,             0.97839,                   1,             0.99382,             0.83338,            0.012647,           0.0027071,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020794,           0.0055793,                   0,             0.97855,                   1,             0.99343,             0.79664,            0.014715,           0.0027719,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020357,           0.0056702,                   0,             0.97858,                   1,             0.99422,             0.81086,            0.013735,           0.0028006,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019753,           0.0053261,                   0,             0.97796,                   1,             0.99304,             0.83636,            0.013522,            0.002699,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020324,           0.0056095,                   0,             0.97724,                   1,             0.99304,             0.83563,            0.013515,           0.0026945,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020007,           0.0051466,                   0,             0.97628,                   1,             0.99422,              0.7881,            0.015335,           0.0027432,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020252,            0.005428,                   0,             0.97952,                   1,             0.99461,             0.82869,            0.012843,           0.0026374,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019244,           0.0055685,                   0,             0.97969,                   1,               0.995,             0.85207,             0.01237,           0.0026611,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018728,           0.0058605,                   0,              0.9798,                   1,               0.995,             0.86238,            0.011917,           0.0026823,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018738,           0.0055938,                   0,             0.97955,                   1,               0.995,             0.84447,             0.01255,           0.0027153,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01792,           0.0056882,                   0,             0.97662,                   1,             0.99461,             0.85296,            0.011903,           0.0026041,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018156,           0.0054406,                   0,             0.97812,                   1,               0.995,             0.85951,            0.012006,           0.0026122,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018087,           0.0052887,                   0,              0.9779,                   1,               0.995,             0.85663,            0.012386,           0.0025704,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018509,           0.0054863,                   0,             0.97586,                   1,             0.99461,             0.85733,            0.011735,           0.0025278,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01757,           0.0054085,                   0,             0.97566,                   1,             0.99461,             0.86798,            0.011396,            0.002505,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017248,           0.0053348,                   0,              0.9739,                   1,             0.99461,             0.84765,            0.011439,           0.0025058,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018614,           0.0056891,                   0,             0.97645,                   1,               0.995,             0.85924,            0.011137,            0.002502,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018179,           0.0055879,                   0,             0.97712,                   1,               0.995,             0.86258,            0.011113,           0.0024511,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017485,           0.0052183,                   0,              0.9779,                   1,               0.995,             0.85717,            0.011471,           0.0024728,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.016955,           0.0053264,                   0,             0.97791,                   1,               0.995,              0.8605,            0.011825,           0.0024475,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016632,           0.0054818,                   0,             0.97522,                   1,               0.995,             0.88238,           0.0098879,           0.0023898,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017135,           0.0052707,                   0,              0.9736,                   1,             0.99461,             0.88035,            0.010213,           0.0024078,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.016399,           0.0052702,                   0,              0.9757,                   1,             0.99461,             0.87926,            0.010276,            0.002426,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016418,           0.0048185,                   0,             0.97566,                   1,             0.99461,             0.88202,           0.0099289,           0.0024769,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.01681,           0.0054605,                   0,              0.9752,                   1,             0.99461,             0.88221,           0.0099867,           0.0025095,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016879,           0.0052024,                   0,             0.97682,                   1,             0.99461,             0.88334,           0.0098134,           0.0024645,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016284,           0.0053354,                   0,             0.97729,                   1,             0.99461,             0.88009,           0.0094407,           0.0024179,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015802,           0.0052609,                   0,             0.97707,                   1,             0.99461,             0.88001,            0.009935,           0.0024061,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01599,           0.0050286,                   0,              0.9775,                   1,             0.99461,             0.88045,            0.010302,           0.0023797,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016393,           0.0050404,                   0,             0.97763,                   1,             0.99461,             0.88182,            0.010103,           0.0023504,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016743,           0.0055796,                   0,             0.97762,                   1,             0.99461,             0.87734,           0.0099483,           0.0023438,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016025,           0.0053704,                   0,             0.97761,                   1,             0.99461,             0.88854,           0.0097043,           0.0023534,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015198,           0.0050651,                   0,             0.97751,                   1,             0.99461,             0.88938,           0.0095516,           0.0023671,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015946,           0.0050148,                   0,             0.97788,                   1,             0.99461,             0.88521,           0.0095696,           0.0023662,                   0,            0.000298,            0.000298,            0.000298
